,col
0,[ 0.         -0.          0.15098476  0.          0.          0.        ]
1,[0.         0.         0.         0.27094812 0.         0.        ]
2,[0.06458029 0.         0.         0.20324581 0.         0.        ]
3,[ 0.         -0.          0.17263575  0.          0.          0.        ]
4,[ 0.08880167 -0.          0.          0.26091148  0.          0.        ]
5,[0.07708759 0.         0.         0.23796533 0.         0.        ]
6,[ 0.0554222  -0.          0.0581882   0.11804038  0.         -0.        ]
7,[ 0.04960571 -0.          0.1494369   0.          0.         -0.        ]
8,[ 0.00059252 -0.          0.1921631   0.          0.          0.        ]
9,[ 0.08802216 -0.          0.          0.26245235  0.          0.        ]
10,[ 0.08141265 -0.          0.          0.24808808  0.          0.        ]
11,[ 0.06962297 -0.          0.          0.22546198  0.          0.        ]
12,[ 0.0650232  -0.          0.07964834  0.12467253  0.         -0.        ]
13,[ 0.06570413 -0.          0.17360031  0.0255546   0.         -0.        ]
14,[ 0.08699001 -0.          0.          0.26332353  0.          0.        ]
15,[ 0.08397448 -0.          0.          0.2554492   0.          0.        ]
16,[ 0.07438867 -0.          0.          0.23788092  0.         -0.        ]
17,[ 0.06793787 -0.          0.          0.22801664  0.         -0.        ]
18,[ 0.0648889  -0.          0.03999922  0.18221306  0.          0.        ]
