,hs,wind_speed,wind_dir,picks_period,avg_period
4836,0.1,6.4,3,2.7,3.03
4837,0.1,6.5,3,2.7,3.02
4838,0.1,6.5,3,2.7,3.03
4839,0.1,6.4,3,3.95,3.07
4840,0.1,6.3,3,3.98,3.11
4841,0.1,6.1,4,4.0,3.11
4842,0.1,6.0,4,2.71,3.04
4843,0.1,5.8,4,2.7,2.98
4844,0.1,5.8,4,2.7,2.95
4845,0.1,5.8,4,2.7,2.94
4846,0.1,5.7,4,2.71,2.95
4847,0.1,5.6,4,3.8,2.98
4848,0.1,5.4,4,3.79,3.01
4849,0.1,5.5,4,3.65,3.03
4850,0.1,5.4,4,3.54,3.02
4851,0.1,5.3,4,3.48,2.99
4852,0.1,5.1,4,3.39,2.95
4853,0.1,4.8,4,3.3,2.91
4854,0.1,4.5,7,3.26,2.92
4855,0.1,4.3,7,3.23,3.12
4856,0.1,4.8,8,7.27,3.73
4857,0.1,5.5,8,6.74,4.58
4858,0.1,5.9,8,6.53,5.1
4859,0.1,6.5,8,6.55,5.23
4860,0.1,7.2,8,6.66,5.11
4861,0.3,7.3,8,2.72,3.07
4862,0.7,7.5,8,3.39,3.31
4863,0.7,7.4,8,3.9,3.72
4864,0.7,7.4,8,4.0,3.82
4865,0.7,7.4,8,4.02,3.82
4866,0.7,7.5,8,4.09,3.83
4867,0.7,7.5,8,4.3,3.91
4868,0.8,7.2,8,4.49,4.02
4869,0.8,7.0,8,4.7,4.14
4870,0.8,6.7,8,4.8,4.29
4871,0.8,6.4,8,4.98,4.47
4872,0.8,6.1,8,5.36,4.65
4873,0.8,5.9,8,5.85,4.79
4874,0.8,5.8,8,5.81,4.86
4875,0.8,5.6,8,5.78,4.89
4876,0.7,5.6,8,5.74,4.89
4877,0.7,5.5,8,5.7,4.87
4878,0.7,5.6,8,5.66,4.84
4879,0.7,5.7,8,5.61,4.8
4880,0.6,5.9,8,5.55,4.74
4881,0.6,6.0,8,5.47,4.68
4882,0.6,6.0,8,5.4,4.61
4883,0.6,6.2,8,5.34,4.53
4884,0.6,6.1,8,5.3,4.47
4885,0.6,5.9,8,5.28,4.48
4886,0.7,5.8,8,5.28,4.55
4887,0.7,5.5,8,5.34,4.65
4888,0.7,5.3,8,5.47,4.78
4889,0.7,5.1,8,5.66,4.92
4890,0.8,4.8,8,5.8,5.04
4891,0.8,4.7,8,5.91,5.15
4892,0.8,4.5,5,5.98,5.24
4893,0.8,4.4,5,6.02,5.3
4894,0.8,4.3,5,6.05,5.34
4895,0.8,4.2,5,6.06,5.36
4896,0.7,4.0,5,6.07,5.37
4897,0.7,4.0,5,6.07,5.35
4898,0.7,4.0,5,6.05,5.32
4899,0.7,4.1,5,6.0,5.27
4900,0.6,4.1,5,5.94,5.21
4901,0.6,4.2,5,5.87,5.14
4902,0.6,4.4,6,5.81,5.06
4903,0.5,4.7,6,5.75,4.97
4904,0.5,5.4,6,5.68,4.86
4905,0.5,5.7,6,5.6,4.71
4906,0.5,6.1,6,5.45,4.5
4907,0.5,6.5,6,5.32,4.15
4908,0.6,6.8,6,5.23,3.76
4909,0.7,7.0,6,3.87,3.8
4974,0.5,3.3,2,4.11,3.97
4975,0.4,3.3,2,4.0,3.92
4976,0.4,3.4,2,3.93,3.86
4977,0.4,3.4,2,3.87,3.81
4978,0.3,3.5,2,3.73,3.77
4979,0.3,3.6,2,3.63,3.72
4980,0.3,3.7,2,3.58,3.68
4981,0.3,3.6,2,3.55,3.67
4982,0.3,3.6,2,3.52,3.66
4983,0.3,3.4,2,3.46,3.66
4984,0.3,3.3,2,3.35,3.65
4985,0.2,3.3,2,3.32,3.64
4986,0.2,3.2,2,3.32,3.66
4987,0.2,3.3,6,3.98,3.72
4988,0.3,3.3,6,4.68,3.8
4989,0.3,3.6,6,4.7,3.86
4990,0.3,3.7,6,4.65,3.9
4991,0.3,3.9,6,4.58,3.9
4992,0.3,4.0,6,4.44,3.88
4993,0.3,4.1,6,4.32,3.84
4994,0.3,4.1,6,4.16,3.78
4995,0.2,4.2,6,4.01,3.71
4996,0.2,4.2,6,3.86,3.64
4997,0.2,4.2,6,3.75,3.56
4998,0.2,4.3,6,3.71,3.49
4999,0.2,4.5,6,3.67,3.42
5000,0.2,4.8,6,3.65,3.38
5001,0.3,5.1,6,3.77,3.47
5002,0.3,5.4,6,4.58,3.67
5003,0.4,5.5,6,4.7,3.87
5004,0.4,5.7,6,4.81,4.02
5005,0.5,5.9,6,4.97,4.07
5006,0.5,6.1,6,5.04,4.03
5007,0.6,6.4,6,4.98,3.91
5008,0.6,6.6,6,4.8,3.84
5009,0.7,6.8,6,4.61,3.87
5010,0.8,7.1,6,4.51,3.94
5011,0.9,7.4,6,4.58,4.03
5012,1.0,7.6,6,4.72,4.16
5013,1.1,7.5,6,4.87,4.35
5014,1.3,8.1,6,5.24,4.58
5015,1.5,8.3,6,5.48,4.87
5016,1.7,8.3,6,5.92,5.2
5017,2.0,9.2,6,6.34,5.48
5018,2.1,8.4,6,6.52,5.72
5019,2.2,8.5,6,6.79,5.89
5020,2.2,8.2,6,7.0,6.01
5021,2.2,8.4,6,7.08,6.08
5022,2.2,8.5,6,7.12,6.1
5023,2.2,8.1,6,7.14,6.11
5024,2.1,7.7,6,7.15,6.1
5025,2.0,7.1,6,7.13,6.08
5026,1.9,6.5,5,7.08,6.04
5027,1.8,6.3,5,7.04,5.97
5028,1.7,6.2,5,6.98,5.9
5029,1.6,6.2,5,6.91,5.82
5030,1.5,6.1,5,6.8,5.72
5031,1.5,5.9,5,6.59,5.62
5032,1.4,5.7,5,6.44,5.51
5033,1.3,5.6,5,6.33,5.39
5034,1.2,5.6,5,6.22,5.28
5035,1.1,5.5,5,5.98,5.16
5036,1.1,5.4,8,5.79,5.04
5037,1.0,5.5,8,5.68,4.92
5038,1.0,5.7,8,5.49,4.79
5039,0.9,6.1,8,5.31,4.67
5040,0.9,6.3,8,5.24,4.55
5041,0.9,6.2,8,5.18,4.49
5042,1.0,6.1,8,5.13,4.51
